objectid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
pnla011,uica_b599.pdf,Safe chain saw operation.,"Karsky, Thomas J.",1981-03-01,"Bulletin no. 599 Moscow, Idaho :University of Idaho, College of Agriculture,1981.    10 p. :ill. ;28 cm.  Cover title.;""Adapted from Michigan Cooperative Extension Service Bulletin E-1310 by Thomas J. Karsky""--T.p. verso.",chainsaws,,,,Agricultural and Extension Publications Collection,uica_b599,Text,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla012,PG8-X583C.jpg,Wallace (Idaho) 1913 [04],"Barnard Studio (Wallace, Idaho)",1913-02-08,"Note on back: ORN (Oregon Railroad & Navigation Company) Wreck (ore cars) Feb. 8, 1913",railroad bridges; accidents; passenger cars (railroad cars); groups of people,"Wallace, Idaho",,,Barnard-Stockbridge Photograph Collection,8-X000583c,Image;StillImage,image/jpg,eng,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
pnla013,90-7-137.jpg,Summerfield homestead [02],,1900,"Summerfield farm is located in Township 39, Range 5 W. with 80 acres in the S.E. Sect. 4 and 80 acres in the N.E. Sect. 9. Location is east of Moscow Mountain Road and south of the hill road to the Robinson Lake area. Above [90-7-137] house was an addition to the original house shown in the top [90-7-136] picture.",animals; dogs; horses; houses,"Moscow, Idaho",46.75238,-116.970019,Ott Historical Photograph Collection,90-07-137,Image;StillImage,image/jpg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
pnla014,PG1_002-19.jpg,"University of Idaho campuses, panoramic view from East. [2-19]",,1919,1919 panoramic photograph of University of Idaho campus.  Administration building in the center and old water tower to the left.  [PG1_002-19],buildings; campuses; exteriors; trees; panoramic views,"Moscow, Idaho",46.727849,-117.007289,University of Idaho Campus Photographs Collection (PG1),PG1_002-19,Image;StillImage,image/jpg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
pnla015,PG17-05-10.jpg,Head shot of Melvin C. Markham,,1945,Photograph of Head shot of Melvin C. Markham.. Donated by Russ Bishop through Priest Lake Museum. Date: 1945,people,"Priest Lake, Idaho",48.480174,-116.850066,Priest Lake Historical Photograph Collection,PG17-05-10,Image;StillImage,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla016,99-30-46.jpg,Dworshak Dam site 02,"Curtis, Bert",1968-05-30,Photograph of the Clearwater river.,clearwater river,"Clearwater River, Idaho",,,Dworshak Dam Collection,99-30-46,Image;StillImage,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla017,cp.ID.10.19.63.jpg,"Football Program. Idaho - College of the Pacific, 10/19/1963, Neale Stadium, Moscow (Idaho)",,1963-10-19,"Official souvenir program of the Idaho - College of the Pacific football game, Saturday, October 19, 1963, Neale Stadium, Moscow (Idaho). Homecoming. Cover depicts pictures of a football player in blue evading a tackle from his opponent.",Pacific; Idaho; Neale Stadium; 1963,"Moscow, Idaho",,,University of Idaho Football Program Covers Collection,cp.ID.10.19.63,Image;StillImage,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla018,MG101_b7_f4_010.pdf,Packet featuring atom bomb as volcano,,1947-03-28,"Packet with a series of materials, most of which are focused on how near earth is to destruction, employing the atom bomb and communism in particular. Includes history of the movement, testimony, advertisements for lessons, application for membership, and form envelopes. Also includes large mailer the packet was sent in.","Atom Bomb; Living God; Moscow, Idaho; Lessons; Spirit of God; Health; Happiness; Testimonials; God-Realm","Moscow, Idaho",,,Psychiana Digital Collection,MG101_b7_f4_010,Text,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla019,Gem1934.pdf,"1934 Gem of the Mountains, University of Idaho Yearbook, Vol. 32",,1934,"The official 1934 yearbook of the University of Idaho, Volume 32",periodicals; students,"Moscow, Idaho",,,Gem of the Mountains Digital Yearbook Collection,Gem1934,Text,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla020,LM.0045.jpg,Lee Morse Plays Guitar,,1930,"""Lee's Lullaby."" Lee Morse sits on a chair in front of a fireplace. She holds a guitar and stares at a young child sitting next to her dressed in a uniform.","Morse, Lee",,,,Lee Morse Collection,LM.0045,Image;StillImage,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla021,KYJRPLUCn4g,"University of Idaho vs. Boise State University (Football), 11/23/1991",University of Idaho Athletic Department,1991-11-23,"University of Idaho vs. Boise State University (Football), 11/23/1991. Wide vesion. Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115",football,"Moscow, Idaho",46.726113,-117.015671,Vandal Video Collection - Vandal Training and Scouting Films,UG64-BoiseSt1991-1_23,Image;MovingImage,video/avi,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla022,MG415_0216e.mp3,"Ione Adair, 1977-02-24, Interview #5 - MP3 Recording","Schrager, Sam",1977-02-24,With Bernadine Cornelison. Women homesteaders in the timber. Experiences of 1910 fire. Friendship with father. Dr. Watkins family. Carrie Bush and Mary Borah.,Moscow; Bovill; Fortynine Meadows,"Moscow, Idaho",,,Latah County Oral History Collection,MG415_0216e,Sound,audio/mp3,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
