objectid,parentid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_012,demo_009,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-003_003.jpg,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
demo_013,demo_009,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f04-015.pdf,,Drafts of the University of Idaho Vandals logo,"Ames, Leo ",1978,,,,,,,ug73_b08_f04-015,Image;StillImage,application/pdf,,,
demo_014,,,,University of Idaho Football,,,,,,,,,,record,compound_object,,,
demo_015,demo_014,https://digital.lib.uidaho.edu/digital/iiif/football/150/full/pct:70/0/default.jpg,,"Football Program: Idaho vs University of Oregon, 10/09/1948, Hayward Field, Moscow (Idaho)",,1948-10-09,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 09, 1948, Neale Stadium, Moscow (Idaho). Cover depicts a cartoon picture of a dad showing his son his old red jersey from when he used to play, and his son is in a blue jersey currently playing. Idaho lost the game 8-15. ",University of Oregon,,,,,or.ID.10.9.48,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_016,demo_014,,l3UCmLXUhOY,"University of Idaho vs. University of Oregon (Football), 10/09/1948 ",,,,,,,,,UG64-UOre1948-1_90,Image;MovingImage,video/mp4,,,
demo_017,demo_014,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f04-015.pdf,,Drafts of the University of Idaho Vandals logo,"Ames, Leo ",1978,,,,,,,ug73_b08_f04-015,Image;StillImage,application/pdf,,,
demo_018,,,,Hell's Half Acre,Keeping Watch,,"Hells Half Acre is an R-6 cabin that is easily accessible by road in the Selway-Bitterroot Wilderness. Originally a platform on top of a forty-foot-tall tower, the original Hell's Half Acre cabin was an L-4.  Now one of the most popular lookouts in Idaho or Montana, it sits above a snag forest of mostly lodgepole pine. A sign at the base of the summit informs drivers that the tower opens at 9 am. Unsure if this refers to mountain or pacific time, we wait at the sign and drink our coffee. ",,,45.64579,-114.62838,Keeping Watch Fire Tower Oral HIstory Project,,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_019,demo_018,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/hells_half_theta.JPG,,Hell's Half Acre Lookout 360 Image,Keeping Watch,2021-07-13,360 Image of the Interior of Hell's Half Acre Fire Tower,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,
demo_020,demo_018,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/patrick_records_weather.MP4,,Patrick McMarron Records Fire Conditions at Hell's Half Acre Lookout,Keeping Watch,2021-07-13,Video of Patrick McMarron recording fire conditions in July of 2021 on Hells Half Acre Fire Lookout,,Hell's Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,
demo_021,demo_018,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/outside_shot_hells_half.JPG,,Outside shot of Hells Half Acre Lookout,Keeping Watch,2021-07-13,Outside shot of Hells Half Acre Lookout,,Hell's Half Acre,45.37013920440325,-117.21808047463469,,,Image;StillImage,image/jpeg,eng,,
demo_022,demo_018,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/Patrick_the_human_being.mp4,,Patrick McMarron Discusses the Importance of Human Beings on the Lookout,Keeping Watch,2021-07-13,Video of Patrick McMarron discussing the importance of human beings staffing fire lookouts,Patrick McMarron; Hell's Half Acre,Hell's Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,
demo_023,,,,Compound Object of Images from Taylor Ranch,,,These are several images from the Taylor Ranch Wilderness Station archive that is an ongoing project being developed at the University of Idaho Library,wilderness;taylor ranch;,Taylor Wilderness Research Station,45.102402,-114.850242,,,record,multiple,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_024,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0124.jpg,,,,1880,"These ""parade gloves"" belonged to Dave Lewis. They were with his other treasures possessions in an old travel trunk that he left with Jess Taylor in 1936. Using the lining material pattern for dating these gloves were dated to 1880, the year after the Sheepeater Campaign was concluded where he served as a civilian ammunition packer. The bead pattern on these gloves is typical of bead-work done by Shoshoni women of that time period. It is not known when Dave Lewis wore these gloves. One possibility was when the U.S. Army moved the small Sheepeater band from Fort Vancouver, Washington to Fort Hall, Idaho Territory in the spring of 1880. These gloves are yet another Dave Lewis mystery. ",Dave Lewis,,45.102402,-114.850242,,,Image;StillImage,image/jpeg,eng,,
demo_025,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0125.JPG,,Description of Dave Lewis' Gloves,,1880,"These ""parade gloves"" belonged to Dave Lewis. They were with his other treasures possessions in an old travel trunk that he left with Jess Taylor in 1936. Using the lining material pattern for dating these gloves were dated to 1880, the year after the Sheepeater Campaign was concluded where he served as a civilian ammunition packer. The bead pattern on these gloves is typical of bead-work done by Shoshoni women of that time period. It is not known when Dave Lewis wore these gloves. One possibility was when the U.S. Army moved the small Sheepeater band from Fort Vancouver, Washington to Fort Hall, Idaho Territory in the spring of 1880. These gloves are yet another Dave Lewis mystery. ",Dave Lewis,,45.102402,-114.850242,,,Image;StillImage,image/jpeg,eng,,
demo_026,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0126.jpg,,Dave Lewis at Soldier Bar,,1927,"In this 1927 photograph, Governor Clarence Baldridge, Dave Lewis, and Regional Forester R.H. Rutledge stand from left to right by the monument for private Harry Eagan who was killed in August of 1879 during the Sheepeater War. ",Dave Lewis; Soldier Bar,,45.104624,-114.795725,,,Image;StillImage,image/jpeg,eng,,
demo_027,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0127.JPG,,Description of Dave Lewis at Soldier Bar,,1927,"In this 1927 photograph, Governor Clarence Baldridge, Dave Lewis, and Regional Forester R.H. Rutledge stand from left to right by the monument for private Harry Eagan who was killed in August of 1879 during the Sheepeater War. ",Dave Lewis; Soldier Bar,,45.104624,-114.795725,,,Image;StillImage,image/jpeg,eng,,
demo_028,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0128.JPG,,Dave Lewis with his horse,,1909,"The big silvertip (grizzly) bear who has been killing much stock in the Salmon River neighborhood for several year was killed by Dave Lewis near Slate Creek. The hide measured nine feet in length and the bear weighed close to 1,000 pounds. ",Dave Lewis,,,,,,Image;StillImage,image/jpeg,eng,,
demo_029,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0129.JPG,,Unsurveyed map of Taylor Ranch,,1923,Unsurveyed map of Taylor Ranch,Taylor Ranch,,45.103059,-114.850558,,,Image;StillImage,image/jpeg,eng,,
demo_030,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0130.JPG,,Jess Taylor on a hunting trip,,,Jess Taylor on a hunting trip,Jess Taylor;,,,,,,Image;StillImage,image/jpeg,eng,,
demo_031,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0131.JPG,,Jess Taylor and Arlow Lewis,,,Jess Taylor plowing a field with Arlow Lewis.,Jess Taylor; Arlow Lewis,,,,,,Image;StillImage,image/jpeg,eng,,
demo_032,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0132.JPG,,Description of Jess Taylor,,,Description of Jess Taylor,Jess Taylor,,45.102402,-114.850242,,,Image;StillImage,image/jpeg,eng,,
demo_033,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0133.JPG,,Jess Taylor sitting in his rocking chair,,,Jess Taylor sitting in his rocking chair at the Taylor Ranch.,Jess Taylor; Rocking Chair,,45.102346,-114.851441,,,Image;StillImage,image/jpeg,eng,,
demo_034,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0135.JPG,,Description of Jess & Dorothy Taylor,,,Description of Jess & Dorothy Taylor,Jess Taylor; Dorothy Taylor,,45.102402,-114.850242,,,Image;StillImage,image/jpeg,eng,,
demo_035,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0136.jpg,,Peeled Tree,,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,Image;StillImage,image/jpeg,eng,,
demo_036,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0137.JPG,,Peeled Tree,,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,Image;StillImage,image/jpeg,eng,,
demo_037,demo_023,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0138.JPG,,Peeled Tree,,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,Image;StillImage,image/jpeg,eng,,
demo_038,,,,Peeled Tree,,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,record,compound_object,eng,,
demo_039,demo_038,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0136.jpg,,Peeled Tree View 1,,,,,,,,,,Image;StillImage,image/jpeg,,,
demo_040,demo_038,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0137.JPG,,Peeled Tree View 2,,,,,,,,,,Image;StillImage,image/jpeg,,,
demo_041,demo_038,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0138.JPG,,Peeled Tree View 3,,,,,,,,,,Image;StillImage,image/jpeg,,,
